pixel_id,latitude,longitude,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,2026-01-01
41,36.75,74.0,76.34279,77.135254,72.89143,80.258896,76.563156,68.16789,67.362045,77.31073,69.79749,84.967804,67.47185,82.9035,71.450806,68.15645,66.39279,73.14421,72.27818,81.42914,76.80461,71.27229,59.442036,61.56979,68.955414,77.939865,76.38939,85.70445,65.958145,86.46814,80.95531,72.952095,66.24794,78.15401,65.196625,72.60333,71.792656,63.74962,84.22974,62.97293,76.48155,77.86952,52.814247,76.976944,76.419205,61.900345,65.330124,71.9037
42,36.75,74.25,76.99318,80.07861,74.25667,83.796005,78.76433,71.232346,70.830795,81.14862,73.92835,88.47562,70.54216,86.78436,74.92151,72.566605,68.16818,77.15788,74.05357,85.43695,77.52336,73.0262,61.154926,63.62057,71.8851,80.096115,84.080795,89.2025,68.92885,89.708374,84.597885,74.88569,67.66786,83.290726,69.59311,75.24005,72.34734,64.6461,85.92505,65.006134,77.54796,80.726944,54.60917,79.846085,80.99342,63.406204,67.0352,73.76503
43,36.75,74.5,78.72365,81.10791,75.09456,86.84288,80.475266,73.21086,74.112045,84.09589,77.59437,90.94241,73.58708,88.973816,76.95276,76.77754,70.28146,80.77312,76.15123,88.1225,78.57219,75.13753,63.383442,65.433075,74.043304,83.34416,88.155014,90.499374,71.921036,89.784546,85.61742,77.24116,71.02724,88.25166,73.852875,77.60724,73.1657,65.509384,87.03833,67.881134,79.53233,83.36757,56.263466,84.334366,83.40163,66.00581,68.49809,74.4955
44,36.75,74.75,77.23341,77.73682,73.3055,84.551865,77.93425,71.119064,71.68822,82.00604,75.192024,88.35452,72.34099,85.13983,74.54065,75.711136,68.576385,78.75163,75.09068,85.25922,76.68742,73.25081,62.383442,64.33542,72.105804,82.36565,84.467514,87.186874,70.926895,86.64783,82.38109,74.78217,70.14247,86.71065,72.40561,75.43341,70.98797,64.185165,84.93091,67.26004,78.645615,81.30507,55.607216,83.62929,80.99733,64.962845,66.87114,72.587296
45,36.75,75.0,75.028336,75.74072,72.70003,83.48546,75.887375,69.18938,68.3347,80.43378,72.39515,86.32913,70.395676,82.48163,73.62073,75.08809,67.06662,77.1989,73.77623,82.7807,75.019455,71.60042,61.20766,62.454556,69.762054,80.2133,81.90697,86.212265,69.31752,87.28259,81.02757,71.59858,68.42763,85.06221,70.24545,73.46857,69.21258,62.6129,83.427,66.07254,77.92296,79.71327,54.913857,81.43788,79.5403,62.224564,66.32622,71.56386
46,36.75,75.25,75.05568,76.42432,72.948074,85.21983,76.11003,69.49211,68.080795,81.37518,72.71937,87.16312,71.13591,83.48944,74.93713,77.035355,66.87521,77.739914,73.328964,82.827576,74.68742,71.70784,61.15102,60.847134,69.012054,80.10002,82.655014,89.08336,68.09682,90.5365,80.722885,71.53413,68.01747,85.728226,69.628265,73.40216,69.28875,61.98204,84.048096,66.22879,77.78233,80.29921,53.976357,80.053116,80.02858,61.15425,67.312546,72.03456
47,36.75,75.5,72.64162,73.46338,69.32893,81.833115,72.61589,66.85149,65.92845,78.43182,70.57484,84.31741,69.6945,80.40741,72.22034,74.60176,63.21701,73.921555,69.235214,79.10687,72.11516,68.02034,58.57485,58.522915,66.1976,76.33244,79.57689,86.74547,64.76869,87.96619,76.572495,69.18452,64.16591,81.72041,65.80795,69.617004,66.491875,59.31407,81.30005,63.92801,73.64171,77.06874,51.058388,75.51601,77.300064,58.789017,64.30083,69.911514
48,36.75,75.75,67.0049,66.373535,63.403152,74.27257,65.344406,60.3593,59.912827,71.84003,64.3014,76.56351,63.602707,72.73358,67.27893,68.123245,58.263885,67.52898,63.04576,70.50726,69.09367,61.75081,54.317036,56.290493,60.662445,68.23088,71.739,77.99742,62.114395,80.89392,72.86351,62.1103,59.11708,73.558304,60.49936,63.4256,60.34344,54.616806,74.37427,59.195587,67.53819,70.6078,50.433388,69.72304,72.57155,53.27339,59.593796,65.20448
49,36.75,76.0,62.19435,59.52588,58.60237,68.54991,58.992844,54.677658,54.194077,66.6369,57.873665,68.44632,57.608566,65.591,63.99182,63.172073,55.45529,63.68718,58.79576,62.352966,66.138596,57.178543,50.721333,53.296352,55.170258,61.900803,63.78392,69.743515,60.182755,74.515015,69.828354,54.98725,55.894424,66.7751,57.45053,58.6463,54.234066,50.45079,67.30786,54.67215,62.782333,65.183975,51.402138,65.178116,68.93092,47.98433,56.35161,60.235733
50,36.75,76.25,58.84474,55.359863,55.512527,65.26671,55.24089,51.488205,51.322983,63.37323,53.647102,63.28421,54.680832,60.497253,60.72229,60.498245,52.9924,60.976242,55.5399,58.134216,61.595627,53.893387,47.815083,49.30026,51.863617,58.29924,59.006577,65.54625,55.997208,70.190796,64.03148,51.678658,52.650284,63.384476,54.76889,54.579895,50.74188,47.671494,62.571533,51.27762,58.9171,61.139053,48.50956,60.83046,65.71022,45.28511,52.826218,56.610733
