valid_time,latitude,longitude,r
1981-01-01 00:00:00,34.5,77.75,75.98146
1981-01-01 00:00:00,34.5,78.0,77.75099
1981-01-01 00:00:00,34.5,78.25,79.52638
1981-01-01 00:00:00,34.5,78.5,79.377945
1981-01-01 00:00:00,34.5,78.75,77.80177
1981-01-01 00:00:00,34.5,79.0,70.54201
1981-01-01 00:00:00,34.5,79.25,60.44435
1981-01-01 00:00:00,34.5,79.5,55.78224
1981-01-01 00:00:00,34.5,79.75,53.352554
1981-01-01 00:00:00,34.5,80.0,49.684586
1981-01-01 00:00:00,34.5,80.25,47.958023
1981-01-01 00:00:00,34.5,80.5,47.928726
1981-01-01 00:00:00,34.5,80.75,49.309586
1981-01-01 00:00:00,34.5,81.0,50.528336
1981-01-01 00:00:00,34.25,72.5,54.11232
1981-01-01 00:00:00,34.25,72.75,54.583023
1981-01-01 00:00:00,34.25,73.0,55.307632
1981-01-01 00:00:00,34.25,73.25,58.553726
1981-01-01 00:00:00,34.25,73.5,58.833023
1981-01-01 00:00:00,34.25,73.75,59.698257
1981-01-01 00:00:00,34.25,74.0,64.95216
1981-01-01 00:00:00,34.25,74.25,66.315445
1981-01-01 00:00:00,34.25,74.5,64.41115
1981-01-01 00:00:00,34.25,74.75,67.28224
1981-01-01 00:00:00,34.25,75.0,72.77248
1981-01-01 00:00:00,34.25,75.25,76.62599
1981-01-01 00:00:00,34.25,75.5,78.51662
1981-01-01 00:00:00,34.25,75.75,78.51857
1981-01-01 00:00:00,34.25,76.0,76.752945
1981-01-01 00:00:00,34.25,76.25,73.44435
1981-01-01 00:00:00,34.25,76.5,71.6006
1981-01-01 00:00:00,34.25,76.75,72.59474
1981-01-01 00:00:00,34.25,77.0,72.96974
1981-01-01 00:00:00,34.25,77.25,72.57912
1981-01-01 00:00:00,34.25,77.5,72.81349
1981-01-01 00:00:00,34.25,77.75,72.915054
1981-01-01 00:00:00,34.25,78.0,73.571304
1981-01-01 00:00:00,34.25,78.25,74.57716
1981-01-01 00:00:00,34.25,78.5,76.45607
1981-01-01 00:00:00,34.25,78.75,78.6631
1981-01-01 00:00:00,34.25,79.0,74.52248
1981-01-01 00:00:00,34.25,79.25,65.32521
1981-01-01 00:00:00,34.25,79.5,60.46974
1981-01-01 00:00:00,34.25,79.75,58.64943
1981-01-01 00:00:00,34.25,80.0,55.286148
1981-01-01 00:00:00,34.25,80.25,52.258804
1981-01-01 00:00:00,34.25,80.5,50.74904
1981-01-01 00:00:00,34.25,80.75,51.454117
1981-01-01 00:00:00,34.25,81.0,52.31154
1981-01-01 00:00:00,34.0,72.5,52.540054
1981-01-01 00:00:00,34.0,72.75,51.834976
1981-01-01 00:00:00,34.0,73.0,52.84279
1981-01-01 00:00:00,34.0,73.25,57.317398
1981-01-01 00:00:00,34.0,73.5,57.727554
1981-01-01 00:00:00,34.0,73.75,57.877945
1981-01-01 00:00:00,34.0,74.0,61.383804
1981-01-01 00:00:00,34.0,74.25,61.190445
1981-01-01 00:00:00,34.0,74.5,62.213882
1981-01-01 00:00:00,34.0,74.75,68.23146
1981-01-01 00:00:00,34.0,75.0,69.93654
1981-01-01 00:00:00,34.0,75.25,69.9131
1981-01-01 00:00:00,34.0,75.5,74.63576
1981-01-01 00:00:00,34.0,75.75,78.26857
1981-01-01 00:00:00,34.0,76.0,77.20607
1981-01-01 00:00:00,34.0,76.25,73.883804
1981-01-01 00:00:00,34.0,76.5,72.27248
1981-01-01 00:00:00,34.0,76.75,73.66896
1981-01-01 00:00:00,34.0,77.0,72.64748
1981-01-01 00:00:00,34.0,77.25,69.53029
1981-01-01 00:00:00,34.0,77.5,70.28224
1981-01-01 00:00:00,34.0,77.75,72.03224
1981-01-01 00:00:00,34.0,78.0,70.54591
1981-01-01 00:00:00,34.0,78.25,68.71193
1981-01-01 00:00:00,34.0,78.5,69.73537
1981-01-01 00:00:00,34.0,78.75,71.903336
1981-01-01 00:00:00,34.0,79.0,70.16701
1981-01-01 00:00:00,34.0,79.25,64.90138
1981-01-01 00:00:00,34.0,79.5,61.545914
1981-01-01 00:00:00,34.0,79.75,59.89943
1981-01-01 00:00:00,34.0,80.0,57.21193
1981-01-01 00:00:00,34.0,80.25,53.971695
1981-01-01 00:00:00,34.0,80.5,51.297867
1981-01-01 00:00:00,34.0,80.75,50.479507
1981-01-01 00:00:00,34.0,81.0,50.39357
1981-01-01 00:00:00,33.75,72.5,51.09279
1981-01-01 00:00:00,33.75,72.75,50.817398
1981-01-01 00:00:00,33.75,73.0,50.965836
1981-01-01 00:00:00,33.75,73.25,53.713882
1981-01-01 00:00:00,33.75,73.5,53.83693
1981-01-01 00:00:00,33.75,73.75,55.38185
1981-01-01 00:00:00,33.75,74.0,57.534195
1981-01-01 00:00:00,33.75,74.25,54.45607
1981-01-01 00:00:00,33.75,74.5,59.440445
1981-01-01 00:00:00,33.75,74.75,72.00685
1981-01-01 00:00:00,33.75,75.0,71.23537
1981-01-01 00:00:00,33.75,75.25,65.153336
1981-01-01 00:00:00,33.75,75.5,69.98537
1981-01-01 00:00:00,33.75,75.75,75.98341
1981-01-01 00:00:00,33.75,76.0,76.29982
1981-01-01 00:00:00,33.75,76.25,75.33302
1981-01-01 00:00:00,33.75,76.5,74.596695
1981-01-01 00:00:00,33.75,76.75,73.65138
1981-01-01 00:00:00,33.75,77.0,69.81935
1981-01-01 00:00:00,33.75,77.25,65.70607
1981-01-01 00:00:00,33.75,77.5,67.61232
1981-01-01 00:00:00,33.75,77.75,70.33498
1981-01-01 00:00:00,33.75,78.0,67.98537
1981-01-01 00:00:00,33.75,78.25,65.846695
